X,logFC,AveExpr,t,P.Value,adj.P.Val,B,name
ENSG00000114631,1.003700192,1.440925,3.798290627,0.000321895,0.037138151,-1.229746173,PODXL2
ENSG00000137507,-1.36789697,2.587612494,-3.79572419,0.000324632,0.037364081,-1.23783701,LRRC32
ENSG00000100079,-1.013233289,1.184898248,-3.794734885,0.000325693,0.037415207,-1.240954918,LGALS2
ENSG00000251003,1.156130729,1.12762719,3.793015503,0.000327545,0.03753684,-1.246372513,ZFPM2-AS1
ENSG00000137575,-1.059865131,5.492982935,-3.790924756,0.00032981,0.037674165,-1.252958127,SDCBP
ENSG00000066468,-1.201898827,2.43041895,-3.774402039,0.00034825,0.039190049,-1.304921052,FGFR2
ENSG00000103710,-1.176708308,1.714770405,-3.773276378,0.000349541,0.039262542,-1.308455893,RASL12
ENSG00000163710,-1.017441749,1.332923948,-3.770957539,0.000352216,0.039489873,-1.315735462,PCOLCE2
ENSG00000114200,-1.045073804,1.346161227,-3.761289576,0.000363581,0.040170083,-1.346055276,BCHE
ENSG00000171004,1.113547292,1.191420839,3.747495162,0.000380406,0.041649618,-1.389229311,HS6ST2
ENSG00000206172,-3.050835783,4.405285599,-3.741325075,0.00038817,0.042296384,-1.408507431,HBA1
ENSG00000154330,-1.060864178,1.788077213,-3.741140088,0.000388405,0.042296384,-1.409085094,PGM5
ENSG00000154065,-1.289560139,2.200587666,-3.737273734,0.00039335,0.042681627,-1.421154463,ANKRD29
ENSG00000183722,-1.484902695,2.878421531,-3.728335764,0.000405013,0.043790466,-1.449024654,LHFPL6
ENSG00000162444,-1.070647284,1.248009326,-3.727497537,0.000406123,0.043832409,-1.451636175,RBP7
ENSG00000125810,-1.557318633,3.425820686,-3.719725213,0.00041656,0.044483947,-1.475832941,CD93
ENSG00000011201,-1.446264064,2.575638105,-3.71518191,0.000422779,0.044861842,-1.489961929,ANOS1
ENSG00000250722,-1.59660508,5.974066585,-3.708831848,0.00043162,0.045531077,-1.509690833,SELENOP
ENSG00000006453,1.548181807,3.958905492,3.707256492,0.000433841,0.045606684,-1.514581877,BAIAP2L1
ENSG00000138821,-1.613584385,4.077527525,-3.703134755,0.000439702,0.046063191,-1.527372316,SLC39A8
ENSG00000116016,-1.736211615,5.983614301,-3.700564621,0.000443396,0.046369996,-1.535343172,EPAS1
ENSG00000012171,-1.209677969,2.789185108,-3.697293321,0.000448139,0.046624905,-1.545483354,SEMA3B
ENSG00000188536,-2.869533689,5.836251016,-3.695829005,0.000450278,0.046767228,-1.550020456,HBA2
ENSG00000173376,-1.625561591,3.878247191,-3.69327678,0.000454029,0.047076253,-1.557925574,NDNF
ENSG00000174600,-1.031430736,1.760533988,-3.691176351,0.000457139,0.047133887,-1.564428645,CMKLR1
ENSG00000133574,-1.017393252,3.506468645,-3.688395708,0.000461287,0.047263235,-1.573033979,GIMAP4
ENSG00000263155,-1.216418895,1.803284037,-3.682807965,0.000469732,0.047885785,-1.590313681,MYZAP
ENSG00000178726,-1.375403565,2.664806008,-3.67595083,0.000480296,0.048564841,-1.611495404,THBD
ENSG00000064042,-1.434071031,4.452087219,-3.675886633,0.000480396,0.048564841,-1.611693585,LIMCH1
ENSG00000147526,-1.504655395,4.559851953,-3.66973207,0.000490073,0.049296606,-1.630682759,TACC1
ENSG00000168734,-1.206452577,3.415994678,-3.665827331,0.000496308,0.049696697,-1.642719516,PKIG
ENSG00000276232,-3.502428087,6.466672292,-3.664349604,0.000498688,0.049696697,-1.647272562,None
ENSG00000064886,-1.105735534,3.124692961,-3.664177094,0.000498966,0.049696697,-1.647804005,CHI3L2
ENSG00000136155,-1.406868281,2.495471738,-3.663178872,0.00050058,0.049775752,-1.650878861,SCEL
